,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,DO,Depth,pH,Date1,Date2,Day.of.year,Vol.filtered.L,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,datetime,decimal_dat,Month_abb,PRO.mL2,SYN.mL2,PEUK.mL2,HBACT.mL2,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro
AR419_R2,AR419_R2,2019,17,Winter,March,1.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,9:59:00,23.79,34.9,57,2.015,7.82,3/21/19,2019-03-21,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,3/21/19,2019.216438,Mar,4281,88239,16085,1869461,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARAp0451,ARAp0451,2019,18,Spring,April,1.9,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:44:00,25.89,36.26,-99,1.857,7.76,4/22/19,2019-04-22,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/22/19,2019.30411,Apr,2994,154799,20287,1544762,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARAp0807,ARAp0807,2021,34,Spring,April,1.4,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:11,24.9,34.57,-,2.122,7.63,4/16/21,2021-04-16,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,4/16/21,2021.287671,Apr,2534,94988,10084,1381205,Run2,Coastal,21.46765,-157.83585,NA,NA
ARAu0035,ARAu0035,2017,1,Summer,August,1.8,NA,NA,NA,NA,NA,NA,NA,NA,AR,8:19:00,28.15,32.41,102.8,1.75,7.95,8/23/17,2017-08-23,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/23/17,2017.641096,Aug,0,270403,21009,2154177,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARAu0528,ARAu0528,2019,21,Summer,August,1.7,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:05:00,29.98,32.7,99.2,2.009,8.01,8/13/19,2019-08-13,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/13/19,2019.613699,Aug,0,539795,39655,2161609,Run2,Coastal,21.46765,-157.83585,NA,NA
ARAu0548,ARAu0548,2019,22,Summer,August,1.3,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:25:00,30.1,33.82,-67,1.9,8.01,8/29/19,2019-08-29,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/29/19,2019.657534,Aug,0,392428,21653,1671593,Run2,Coastal,21.46765,-157.83585,NA,NA
ARAu0688,ARAu0688,2020,29,Summer,August,1.1,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:35:00,28.9,32,-,1.85,7.77,8/28/20,2020-08-28,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,8/28/20,2020.655738,Aug,0,243340,15744,1722764,Run2,Coastal,21.46765,-157.83585,NA,NA
ARDe0095,ARDe0095,2017,4,Fall,December,1.4,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:55:00,23.6,34.8,92.9,1.85,8.18,12/8/17,2017-12-08,342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/8/17,2017.934247,Dec,23977,133488,11069,1064713,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARDe0588,ARDe0588,2019,24,Fall,December,1.1,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:01:00,25.72,33.48,-,1.979,7.83,12/9/19,2019-12-09,343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/9/19,2019.936986,Dec,6749,75450,14142,621324,Run2,Coastal,21.46765,-157.83585,NA,NA
ARDe0748,ARDe0748,2020,32,Fall,December,1.6,0.13,13.38,0.45,0.1,0.55,4.23,0.03,0.04,AR,12:42,25.61,34.44,-,1.986,7.71,12/23/20,2020-12-23,358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,12/23/20,2020.97541,Dec,1891,170005,18068,1397933,Run2,Coastal,21.46765,-157.83585,NA,NA
ARFe0137,ARFe0137,2018,6,Winter,February,2.4,NA,NA,NA,NA,NA,NA,NA,NA,AR,13:09:00,24.1,34.43,85.3,1.865,8.07,2/21/18,2018-02-21,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/21/18,2018.139726,Feb,10295,353088,18908,1556974,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARFe0387,ARFe0387,2019,16,Winter,February,2,0.09,20.47,0.5,0.02,0.52,5.78,0.02,0.03,AR,11:28:00,23.99,32.75,-99,1.73,7.84,2/25/19,2019-02-25,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/25/19,2019.150685,Feb,2666,27036,6920,1839234,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARFe0768,ARFe0768,2021,33,Winter,February,1.7,0.12,11.04,0.13,NA,NA,NA,0.01,NA,AR,10:43,22.79,34.64,-,1.969,7.99,2/12/21,2021-02-12,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,2/12/21,2021.115068,Feb,2508,63382,16886,1312084,Run2,Coastal,21.46765,-157.83585,NA,NA
ARJa0117,ARJa0117,2018,5,Winter,January,2,NA,NA,NA,NA,NA,NA,NA,NA,AR,9:20:00,24.21,34,80,1.88,8.02,1/29/18,2018-01-29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/29/18,2018.076712,Jan,3966,75318,8312,1707230,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARJa0355,ARJa0355,2019,15,Winter,January,1.7,NA,NA,NA,NA,NA,NA,NA,NA,AR,10:26:00,23.2,35,-99.9,2.069,7.99,1/11/19,2019-01-11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/11/19,2019.027397,Jan,6106,225404,11883,1449327,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARJa0608,ARJa0608,2020,25,Winter,January,1.4,NA,NA,NA,NA,NA,NA,NA,NA,AR,12:21:00,24.26,33.08,-,1.988,7.92,1/24/20,2020-01-24,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,1/24/20,2020.062842,Jan,3480,36057,8181,1285218,Run2,Coastal,21.46765,-157.83585,NA,NA
ARJn0197,ARJn0197,2018,9,Spring,June,2.3,NA,NA,NA,NA,NA,NA,NA,NA,AR,11:48:00,26.32,33.41,64.2,2.002,8.02,6/1/18,2018-06-01,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/1/18,2018.413699,Jun,39996,338394,22322,1526615,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
ARJn0217,ARJn0217,2018,10,Spring,June,1.7,NA,NA,NA,NA,NA,NA,NA,NA,AR,11:39:00,28.39,33.7,72.1,2.08,8.05,6/19/18,2018-06-19,170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,KByT,6/19/18,2018.463014,Jun,6881,365024,22926,1476771,Run_Aug2022,Coastal,21.46765,-157.83585,NA,NA
