samples	MinorClade	MajorClade
MITS9509	CRD1	Synechococcus
MITS9508	CRD1	Synechococcus
GEYO	CRD1	Synechococcus
UW179A	CRD1	Synechococcus
MED4	HL_I	Prochlorococcus
MIT9515	HL_I	Prochlorococcus
AS9601	HL_II	Prochlorococcus
MIT9301	HL_II	Prochlorococcus
MIT9215	HL_II	Prochlorococcus
MIT9202	HL_II	Prochlorococcus
MIT9107	HL_II	Prochlorococcus
GP2	HL_II	Prochlorococcus
MIT9201	HL_II	Prochlorococcus
MIT9302	HL_II	Prochlorococcus
MIT9311	HL_II	Prochlorococcus
MIT9314	HL_II	Prochlorococcus
MIT9321	HL_II	Prochlorococcus
SB	HL_II	Prochlorococcus
CC9311	I	Synechococcus
WH8016	I	Synechococcus
WH8020	I	Synechococcus
UW179B	I	Synechococcus
CC9605	II	Synechococcus
WH8109	II	Synechococcus
N32	II	Synechococcus
N5	II	Synechococcus
N26	II	Synechococcus
N19	II	Synechococcus
UW86	II	Synechococcus
WH8102	III	Synechococcus
CC9902	IV	Synechococcus
BL107	IV	Synechococcus
RS9916	IX	Synechococcus
NATL2A	LL_I	Prochlorococcus
NATL1A	LL_I	Prochlorococcus
PAC1	LL_I	Prochlorococcus
CCMP1375	LL_II	Prochlorococcus
MIT9211	LL_III	Prochlorococcus
MIT9303	LL_IV	Prochlorococcus
MIT9313	LL_IV	Prochlorococcus
PCC7001	SC_5.2	Synechococcus
CB0101	SC_5.2	Synechococcus
PCC6307	SC_5.2	Synechococcus
RCC307	SC_5.3	Synechococcus
CC9616	UC-A	Synechococcus
KORDI100	UC-A	Synechococcus
WH7803	V	Synechococcus
WH7805	VI	Synechococcus
RS9917	VIII	Synechococcus
KORDI49	WPC1	Synechococcus
KORDI52	WPC2	Synechococcus
UW106	XV	Synechococcus
UW69	XV	Synechococcus
UW105	XVI	Synechococcus
UW140	XVI	Synechococcus
HIMB2401	II	Synechococcus
