"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Supergroup","Phylum","Class","Order","Family","Genus","Species","ASV","Curated"
"b313fb940989d495b780f97175df05f5",42.716986563602,4.09327486578184,0.824922253287449,4.96201290420943,6.97663592180029e-07,5.04464443576329e-06,"Eukaryota_plas","Archaeplastida","Chlorophyta","Mamiellophyceae","Mamiellales","Bathycoccaceae","unclassified_Bathycoccaceae","","b313fb940989d495b780f97175df05f5","Archaeplastida:Mamiellophyceae"
"4801416d0b718170ba5bb7218e243280",90.93135736314,1.2068177033912,0.477004729223052,2.5299910660359,0.0114065431025374,0.0428886020655405,"Eukaryota_plas","Archaeplastida","Chlorophyta","Chlorodendrophyceae","Chlorodendrales","Chlorodendraceae","Tetraselmis","unclassified_Tetraselmis","4801416d0b718170ba5bb7218e243280","Archaeplastida:Tetraselmis"
"26c4bf94339bbcabcf2b9e16f24427c7",72.6497654313076,2.87682815340158,0.34714013906107,8.28722417748261,1.1592202247173e-16,3.63222337078087e-15,"Eukaryota_plas","Archaeplastida","Chlorophyta","Chloropicophyceae","Chloropicales","Chloropicaceae","Chloropicon","unclassified_Chloropicon","26c4bf94339bbcabcf2b9e16f24427c7","Archaeplastida:Chloropicon"
"e5a35d824858b0a8c85ae863af9caed0",8.2848822964741,-3.07701095257659,0.559563728512216,-5.49894640375964,3.82067232677164e-08,3.26493817015031e-07,"Eukaryota_plas","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_Clade_C","Ochromonas","Ochromonas_sp.","e5a35d824858b0a8c85ae863af9caed0","Stramenopiles:Other"
"42cd59d539b4edfa4ca8128418cca49f",8.85958485732325,-5.00645675030743,0.681170197664698,-7.3497883017657,1.98521020418101e-13,3.11016265321692e-12,"Eukaryota_plas","Stramenopiles","Ochrophyta","Ochrophyta_X","Ochrophyta_XX","Ochrophyta_XXX","Ochrophyta_XXXX","Ochrophyta_XXXX_sp.","42cd59d539b4edfa4ca8128418cca49f","Stramenopiles:Other"
"8ce7d5b4b52e422fbbd2d0c84e245273",27.4968025561035,-3.60567241143164,0.371781342221633,-9.69836837396256,3.06358427831795e-22,2.87976922161887e-20,"Eukaryota_plas","Stramenopiles","Ochrophyta","Chrysophyceae","Chrysophyceae_X","Chrysophyceae_XX","Chrysophyceae_XXX","Chrysophyceae_XXX_sp.","8ce7d5b4b52e422fbbd2d0c84e245273","Stramenopiles:Other"
"a6bbe5a2d410d61614c38c7c2fcefee7",35.3775707766069,1.32808800529968,0.426128558006923,3.11663694053124,0.00182926699640653,0.00747613468096581,"Eukaryota_plas","Stramenopiles","Ochrophyta","Pinguiophyceae","Pinguiochrysidales","Pinguiochrysidaceae","Pinguiochrysidaceae_X","Pinguiochrysidaceae_X_sp.","a6bbe5a2d410d61614c38c7c2fcefee7","Stramenopiles:Other"
"4038caa74cef581938e69f3acc20304d",14.0439237539197,-4.94727495451878,1.19200303585443,-4.15038788132997,3.31912322973732e-05,0.000183527990350181,"D_0__Bacteria","D_0__Bacteria","D_1__Cyanobacteria","D_2__Cyanobacteriia","D_3__Cyanobacteriales","D_4__Microcystaceae","D_5__Atelocyanobacterium_(UCYN-A)","D_6__Candidatus_Atelocyanobacterium","4038caa74cef581938e69f3acc20304d","Cyanobacteria:Other"
"6bfe56565a740b481b5328f950267bc6",8.17393107469032,-6.39197576484024,1.76955311964786,-3.61219773165794,0.00030361291207541,0.00150208493342571,"D_0__Bacteria","D_0__Bacteria","D_1__Cyanobacteria","D_2__Cyanobacteriia","D_3__Cyanobacteriales","D_4__Microcystaceae","D_5__Crocosphaera","D_6__Crocosphaera_watsonii","6bfe56565a740b481b5328f950267bc6","Cyanobacteria:Other"
"1bff589486f68e77b4476d6837244cd6",3551.72295903624,-3.73474357854277,0.472649383376008,-7.90172104291451,2.75078501908235e-15,6.46434479484351e-14,"D_0__Bacteria","D_0__Bacteria","D_1__Cyanobacteria","D_2__Cyanobacteriia","D_3__Synechococcales","D_4__Cyanobiaceae","D_5__Prochlorococcus_MIT9313","","1bff589486f68e77b4476d6837244cd6","Cyanobacteria:Prochlorococcus"
