X,SampleID,Year,Sampling.Order,Season_Tucker2021,Month,chla.ug.per.L,Phosphate,Silicate,NitrateNitrite,Ammonia,DIN,DIN_DIP,Nitrate_Silicate,DIN_Silicate,Site,Time,SW.Temperature.at.site,Salinity,Depth,pH,Date1,Day.of.year,X19But,X19Hex,Allo,beta.Car,alph.Car,Chla,Chlb,Chlc1.2,Chlc.3,Cphlid,Diadino,Diato,Fuco,Lut,Neo,Peri,Prasino,Viola,Zea,Dva,Mva,Tchla,X19But.Rel,X19Hex.Rel,Allo.Rel,beta.Car.Rel,alph.Car.Rel,Chla.Rel,Chlb.Rel,Chlc1.2.Rel,Chlc.3.Rel,Cphlid.Rel,Diadino.Rel,Diato.Rel,Fuco.Rel,Lut.Rel,Neo.Rel,Peri.Rel,Prasino.Rel,Viola.Rel,Zea.Rel,Dva.Rel,Mva.Rel,Project,decimal_dat,Month_abb,PRO.mL,SYN.mL,PEUK.mL,HBACT.mL,RunFCM,Spatial,latitude,longitude,lln_micro,llp_micro,Log_Chla,Log_HBACT.mL,Log_SYN.mL,Log_PEUK.mL,Log_PRO.mL,Log_Phosphate,Log_Silicate,Log_NitrateNitrite,Log_Ammonia,Log_Lut.Rel,Log_Peri.Rel,Log_Dva.Rel,Log_plus_PRO.mL,Log_plus_Lut.Rel,Metagenome,Metagenome_ID
80817_5,80817_5,NA,NA,NA,NA,0.1,0.03,1.82,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.9849,34.9184,5,NA,8/8/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.6,NA,233900,600,500,462300,NA,ALOHA,22.45,-158,NA,NA,-2.302585093,13.04396931,6.396929655,6.214608098,12.36264895,-3.506557897,0.598836501,NA,NA,NA,NA,NA,12.36265323,NA,NA,NA
80917_5,80917_5,NA,NA,NA,NA,NA,0.04,1.67,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.281,34.9315,5,8.084,8/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.60274,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0039,0.044,NA,NA,NA,NA,NA,-3.218875825,0.512823626,NA,NA,NA,NA,NA,NA,NA,NA,NA
81017_5,81017_5,NA,NA,NA,NA,0.07,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.2701,34.9331,5,NA,8/10/17,NA,4,13,NA,3,7,NA,4,4,1,NA,5,NA,4,0,NA,2,NA,0,68,32,52,84,0.047619048,0.154761905,NA,NA,NA,NA,NA,NA,NA,NA,0.05952381,NA,0.047619048,0,NA,0.023809524,NA,0,0.80952381,0.380952381,NA,ALOHA,2017.605479,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.659260037,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,-3.73766961,-0.965080896,NA,0,NA,NA
100617_5,100617_5,NA,NA,NA,NA,NA,0.03,2.2,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.7855,35.0862,5,NA,10/6/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.761644,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,NA,NA,NA,NA,NA,-3.506557897,0.78845736,NA,NA,NA,NA,NA,NA,NA,NA,NA
100717_5,100717_5,NA,NA,NA,NA,0.07,0.01,1.74,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.8416,35.0945,5,8.084,10/7/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.764384,NA,165900,1300,700,568100,NA,ALOHA,22.45,-158,0.0052,0.0146,-2.659260037,13.25005274,7.170119543,6.551080335,12.01914048,-4.605170186,0.553885113,NA,NA,NA,NA,NA,12.0191465,NA,NA,NA
100817_5,100817_5,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,27.0147,35.0894,5,NA,10/8/17,NA,4,10,NA,1,6,NA,4,2,1,NA,5,NA,2,0,NA,1,NA,0,43,36,47,83,0.047619048,0.119047619,NA,NA,NA,NA,NA,NA,NA,NA,0.05952381,NA,0.023809524,0,NA,0.011904762,NA,0,0.511904762,0.428571429,NA,ALOHA,2017.767123,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.995732274,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,-4.430816791,-0.847297859,NA,0,NA,NA
110817_5,110817_5,NA,NA,NA,NA,0.11,0.03,2.06,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.0662,35.0373,5,NA,11/8/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.852055,NA,198100,9100,700,460200,NA,ALOHA,22.45,-158,NA,NA,-2.207274913,13.03941646,9.116029693,6.551080335,12.19652723,-3.506557897,0.722705983,NA,NA,NA,NA,NA,12.19653228,NA,NA,NA
110917_5,110917_5,NA,NA,NA,NA,NA,0.04,0.94,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.1355,35.0542,5,8.079,11/9/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.854795,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,0.0037,0.0244,NA,NA,NA,NA,NA,-3.218875825,-0.061875404,NA,NA,NA,NA,NA,NA,NA,NA,NA
111017_5,111017_5,NA,NA,NA,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,NA,26.1568,35.0601,5,NA,11/10/17,NA,3,7,NA,0,2,NA,4,2,1,NA,2,NA,1,0,NA,1,NA,0,23,21,20,41,0.075,0.175,NA,NA,NA,NA,NA,NA,NA,NA,0.05,NA,0.025,0,NA,0.025,NA,0,0.575,0.525,NA,ALOHA,2017.857534,NA,NA,NA,NA,NA,NA,ALOHA,22.45,-158,NA,NA,-2.407945609,NA,NA,NA,NA,NA,NA,NA,NA,#NAME?,-3.688879454,-0.644357016,NA,0,NA,NA
121217_5,121217_5,NA,NA,NA,NA,0.12,0.01,1.35,NA,NA,NA,NA,NA,NA,ALOHA,NA,24.2506,35.0697,5,NA,12/12/17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ALOHA,2017.945205,NA,230500,2900,1400,464200,NA,ALOHA,22.45,-158,NA,NA,-2.120263536,13.04807077,7.972466016,7.244227516,12.34800614,-4.605170186,0.300104592,NA,NA,NA,NA,NA,12.34801048,NA,NA,NA
