sample	Community_Type
KFe386HP	Nearshore
KFe387AR	Nearshore
KFe389R8	Nearshore
KFe393NT	Offshore
KFe395NB	Nearshore
KFe416ST	Offshore
KMa156HP	Nearshore
KMa157AR	Nearshore
KMa158CB	Nearshore
KMa159R8	Nearshore
KMa160SB	Nearshore
KMa161R2	Transition
KMa162ST	Offshore
KMa163NT	Offshore
KMa164NR	Transition
KMa165NB	Nearshore
KOc290HP	Nearshore
KOc291AR	Nearshore
KOc293R8	Nearshore
KOc297NT	Transition
KOc299NB	Nearshore
KOc321ST	Transition
KSe054HP	Nearshore
KSe055AR	Nearshore
KSe056CB	Nearshore
KSe057R8	Nearshore
KSe058SB	Nearshore
KSe059R2	Offshore
KSe060ST	Offshore
KSe061NT	Offshore
KSe062NR	Transition
KSe063NB	Transition
HOT_224_25M	Open_ocean
HOT_225_25M	Open_ocean
HOT_226_25M	Open_ocean
HOT_227_25M	Open_ocean
HOT_229_25M	Open_ocean
HOT_231_25M	Open_ocean
HOT_232_25M	Open_ocean
HOT_233_25M	Open_ocean
HOT_234_25M	Open_ocean
HOT_236_25M	Open_ocean
HOT_237_25M	Open_ocean
HOT_238_25M	Open_ocean
