bins	HOT_224_25M	HOT_225_25M	HOT_226_25M	HOT_227_25M	HOT_229_25M	HOT_231_25M	HOT_232_25M	HOT_233_25M	HOT_234_25M	HOT_236_25M	HOT_237_25M	HOT_238_25M	KFe386HP	KFe387AR	KFe389R8	KFe393NT	KFe395NB	KFe416ST	KMa156HP	KMa157AR	KMa158CB	KMa159R8	KMa160SB	KMa161R2	KMa162ST	KMa163NT	KMa164NR	KMa165NB	KOc290HP	KOc291AR	KOc293R8	KOc297NT	KOc299NB	KOc321ST	KSe054HP	KSe055AR	KSe056CB	KSe057R8	KSe058SB	KSe059R2	KSe060ST	KSe061NT	KSe062NR	KSe063NB
AS9601	0.968644566156013	0.9539513475770203	0.9445447174238242	0.9442926044053307	0.9533093875869371	0.9557670403847928	0.9577617873315903	0.9629735203480956	0.9612506482478445	0.9542519669007345	0.9575893204685829	0.9529069649065864	0.081252851991094	0.10002179789518566	0.356162636251816	0.912849140600017	0.5590806797589776	0.9222419973579035	0.37869471329180554	0.5469499115508484	0.3975427065081089	0.38995596106560565	0.23073012169693022	0.8055334316234761	0.9174698153047574	0.920796988536942	0.8340647205857167	0.6154366226197477	0.10410471133957648	0.12148673622031683	0.09235720282701933	0.820680573404412	0.0809408546451674	0.85447090400183	0.014917185963592724	0.01590887042588536	0.04122257447514381	0.1691558585436371	0.020282222858326857	0.8832261603486705	0.9168506113590987	0.8942328997308798	0.07050601058994446	0.04535758728440145
BL107	0.0016161685121534298	0.001050750229537066	0.0018459243932475403	0.002237603466731786	0.007973185519340193	0.002558824070013838	0.0029894522357216567	0.0014918815212377585	0.001314203639858313	0.0013190175726050465	0.003792066113677083	0.00796968447734257	0.0021382614000491898	0.0026817981701804	0.003941298028825829	0.002682673430679806	0.0038835308358650244	0.002865165244805985	0.00817668358545212	0.008435760693276336	0.007492667505166225	0.007872968192158191	0.009287826789448209	0.0031452486046159487	0.004559231941406561	0.001411795185542097	0.004694459688564809	0.009805981005096642	0.011636150709354871	0.01241907122607366	0.011408145349259574	0.007435775572704827	0.010546013757344529	0.007273852380314691	0.006866856248090838	0.006348264402192703	0.009883003929044383	0.015401083747550365	0.008196376946688759	0.005973215278197173	0.0027045549431649594	0.0017654004273021757	0.006091375445617002	0.00871453116233719
CB0101	0.0021579791278251333	0.001266468481496046	0.004060728830565301	0.0035993801366266055	0.005911500630724963	0.0036872048685729773	0.0033000591114216242	0.002403171440687657	0.0020952471764348678	0.002334703996598853	0.004131347084416057	0.007531418849768447	0.006690452232845231	0.013039284181833758	0.01706309077815222	0.0031943109647923195	0.01631030736146903	0.0030469804960986105	0.06028576375433881	0.06872625819682562	0.051074562480485884	0.05780122001099064	0.0697271016727206	0.025993611378070415	0.006448844602919294	0.0033337551310255384	0.037346302238240175	0.06838177016661964	0.12844420817400912	0.12740285778093072	0.11661547141986064	0.09472811434565019	0.10363640991136154	0.0876010477311287	0.09408788997317581	0.09387961989456013	0.09613366852508579	0.11752956556869024	0.08874492005619349	0.07711620860990656	0.02816521230105458	0.011214680567111179	0.08476699740146335	0.09684917123922848
CC9311	0.0011362816812365444	0.0006563733817001107	0.0023308735635358692	0.001972956342538673	0.0027985060312696124	0.001724754368278023	0.0019196331981457355	0.0009974113339686077	0.0013372984270056023	0.0011121136373749975	0.0017324267631547046	0.0024244767810313846	0.0013871689937040327	0.0017013535639041441	0.0018793531250431573	0.0010561051547752218	0.0021555593406036946	0.0012479150266922617	0.004267386030410304	0.004372881459964676	0.004299226469148533	0.004197950856776336	0.004535919851094161	0.0015820478235717454	0.0014408757578408039	0.0009187692864826212	0.003092358755046518	0.00476916065534528	0.005807619301904135	0.006797741860739895	0.005678723067975884	0.004562773233162546	0.005112116706332949	0.003882231807600888	0.004354084092516806	0.004010360802041471	0.0051458752437903476	0.00743761959345514	0.00450676475056277	0.0029289367441731997	0.0017519913700902428	0.001057639633750558	0.003036350272446742	0.0046237687724321646
CC9605	0.5855379006069721	0.2892360133335511	0.41119721953479144	0.4104607595057712	0.9273091248154369	0.693099301816774	0.9184839518230075	0.6955874931641454	0.6549929719647312	0.6589895322303826	0.8600554675087297	0.937334381132603	0.49823771368393716	0.5804069768136573	0.7193856274388517	0.886211150140262	0.7570956469994531	0.848636154890011	0.7906700989660483	0.8492240483474658	0.7894457192314847	0.7542645178018998	0.7620306063069497	0.7869511550553062	0.9339615614864464	0.893686478330988	0.8368221251870525	0.8390076071660867	0.7349006774715324	0.7801824142585672	0.7001699553782493	0.7743393268460591	0.6969281770244387	0.8036941695387546	0.6126383551091567	0.5616796227603987	0.7022188198397313	0.8140408554088787	0.6410488242330001	0.8495418931842198	0.7642694607272433	0.6642287941134181	0.5696360995260606	0.6107798789082867
CC9616	0.02130911482249963	0.006358870861064813	0.008326813837205347	0.03354044544221081	0.11210925541685092	0.04236236304333859	0.0323778964515044	0.035055614136535254	0.009933444448223862	0.014720077402481565	0.04315226141478735	0.03939098457619496	0.0040205449164937585	0.005815390546163702	0.007027449913262356	0.043536250288180624	0.0076937613146327724	0.03306159317588278	0.013858370088173822	0.016570480477416088	0.013049196684694491	0.013742719895990416	0.014091938123367764	0.01480246871586713	0.08354554765657184	0.054244475435672415	0.018845690140632147	0.015660774553934186	0.024314508052050144	0.029908424700764578	0.022331825345533296	0.01685280300539323	0.021964843853343463	0.018289737746181842	0.013670910953131436	0.014839507012710184	0.018830194526646787	0.031085335480042782	0.015085547127453315	0.018355121678363964	0.012096027453692681	0.008016523615693655	0.013089258515973711	0.017415180410520387
CC9902	0.0017876096057504202	0.001235889294388651	0.00265971251478861	0.002516524761637137	0.006267148970748532	0.002134839907142742	0.0031452084903178233	0.002025659245364744	0.0015737228994804075	0.0015558244303364734	0.0031456559520464215	0.00751735704045233	0.0029008943865031223	0.0028225885839984104	0.003998518006754883	0.003403393907719073	0.003960483759824022	0.002397499941829975	0.007076159776054354	0.007270358166266039	0.006975928348848323	0.006882856309299866	0.0063499293905392275	0.003802977231357402	0.003964958377110006	0.002338882455383591	0.004329192224189065	0.00786279749493026	0.009907697594624731	0.01135389390145461	0.010278195905904168	0.00801180225055351	0.009262010320257308	0.007399674605830964	0.006988009815520478	0.006387963637470087	0.008226136418552122	0.012497158618023401	0.007005460822935814	0.004905522930623744	0.002944745635905761	0.00151868510686281	0.006275203281863302	0.008638248670591204
CCMP1375	0.0033710624300431736	0.0025664161546017313	0.0031055120268634216	0.0031671882495374285	0.004872421591246545	0.0032779770198962926	0.004146583822555223	0.003302533293738721	0.002921054434977271	0.003821641501244946	0.031673595723781894	0.010017817575439158	0.0009182904264796582	0.0010707677547570644	0.0010947529524636223	0.0017103730269319507	0.0005767868972291386	0.0016858167530895219	0.0010285081207026521	0.0008560431276697808	0.0008954473810448409	0.0009382780912351235	0.0008646092697078374	0.0008823126299198211	0.0016292802156383489	0.0012323823012083972	0.0011541448705941475	0.0011130273888114764	0.001063914841126619	0.0012329533773442676	0.0009508417662242731	0.0011181670740343104	0.0010947529524636223	0.0012004020375996527	0.0009314251776046783	0.0012009731137355233	0.0007138451698380428	0.001497932704388149	0.001098179409278845	0.0009868195627841102	0.0018245882541060375	0.0005425223290769126	0.0011838408296594102	0.0011181670740343104
GEYO	0.0007339120713601481	0.0003567154021262115	0.0015941252898846008	0.001561696616964036	0.0033145517269335062	0.001440942479641407	0.0012711186398731869	0.0012736787982616524	0.0006187049438791946	0.0010402776918465356	0.002741502940981949	0.005972849520290322	0.0025827731208970797	0.0023711333607839206	0.004463636150289831	0.00575395597807651	0.00426778403357221	0.0029663701861021804	0.017550739139061404	0.020046466874750653	0.014056976324935303	0.014897134969416775	0.01727765557762507	0.0070839582608844065	0.003222812718013488	0.0028230013163481047	0.008336302405908845	0.017852837828900348	0.015618672941899338	0.018037169232869875	0.0126305414094952	0.007831951203381116	0.011626959321216672	0.009196088931368553	0.008478817889533433	0.007462008316247832	0.010344746661660135	0.0214916762850395	0.011266403681507763	0.006448612287480186	0.0027999598908519142	0.001973882117507003	0.006328711536287045	0.009581819461897376
GP2	0.9298446725070953	0.9152569398698525	0.891955968996066	0.9017441251977762	0.9335631745171796	0.93216134851106	0.9398575395090839	0.9336235078279392	0.9174627995887484	0.9119496894065788	0.9297221589474916	0.903829318295153	0.0495010188941766	0.05576952675289815	0.19521950859134032	0.7998836429006778	0.33840092100645813	0.8208383867611478	0.21717036772537263	0.32539170478541657	0.22390430398138286	0.21561770844235398	0.1256139530015822	0.5792213309035836	0.7818821530372897	0.8077485209104174	0.6141530865413621	0.3744593088757688	0.049293546182686804	0.06012522240212767	0.04583915631868301	0.5698702833818667	0.03919879825895303	0.629318910799047	0.005388749684481411	0.0089896633031872	0.019250020008495915	0.08408678146412939	0.008885619124428219	0.6946955938213765	0.792256404257808	0.7097302854750632	0.029703073920618602	0.02075527454734626
HIMB2401	0.16211739804601205	0.09254550638670059	0.13467382098636982	0.1511280360490531	0.6060481653002968	0.30390388923361944	0.36638706698414236	0.221156036727345	0.15807348193437198	0.3376315306144977	0.3942825254817446	0.6814884091471701	0.6892051537031026	0.7414589945778924	0.861436334743623	0.525431013628312	0.8898865458173487	0.46701664774432716	0.9345157094562062	0.9430117381135688	0.9307949684270157	0.9299921977643613	0.9389443354407042	0.8663553601264892	0.6340126742878992	0.3777540928855918	0.9110385428561631	0.9416462294439745	0.9248585052119028	0.9409721651368304	0.9194622329049541	0.907474222324728	0.9260596079529254	0.9097660409690179	0.9181460460139312	0.9066531321443183	0.9289531522957879	0.9471002786915355	0.9239829262094522	0.8867243152140777	0.8001758673704493	0.6886325513404485	0.8963918535453199	0.9149326147071907
