"","HOT_224_25M","HOT_225_25M","HOT_226_25M","HOT_227_25M","HOT_229_25M","HOT_231_25M","HOT_232_25M","HOT_233_25M","HOT_234_25M","HOT_236_25M","HOT_237_25M","HOT_238_25M","KFe386HP","KFe387AR","KFe389R8","KFe393NT","KFe395NB","KFe416ST","KMa156HP","KMa157AR","KMa158CB","KMa159R8","KMa160SB","KMa161R2","KMa162ST","KMa163NT","KMa164NR","KMa165NB","KOc290HP","KOc291AR","KOc293R8","KOc297NT","KOc299NB","KOc321ST","KSe054HP","KSe055AR","KSe056CB","KSe057R8","KSe058SB","KSe059R2","KSe060ST","KSe061NT","KSe062NR","KSe063NB"
"AS9601__HL_II",17.1149019503608,16.6437257706166,16.7074580560414,16.0933575886849,16.3641411926964,16.0304502215337,17.0290441873414,16.7130250196986,17.6523389232336,16.9843826643601,16.2089847125985,16.2281463794216,0,0,0.831710061105684,15.1276414384764,2.10807118454504,15.8859737842402,0.194233559281107,0.305814092393941,0.264794512376115,0.282801633868668,0,6.80147040727709,14.8341175461208,16.3099642992584,5.22971142477147,0.500295589853956,0,0,0,5.06375961612814,0,5.9625081006882,0,0,0,0,0,8.29671299966494,14.9884097028957,15.4327261113798,0,0
"BL107__IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CB0101__SC_5.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC9311__I",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC9605__II",0.0577262696655559,0.016421358867165,0.074019377580115,0.0646102828487189,0.470328063561232,0.109367422792821,0.266151651229219,0.104684057465723,0.0986443159615899,0.150999677943716,0.296517388971792,1.42815131180749,6.42157533329401,7.15222403896171,6.34605435040879,4.36137424413213,5.74710802616853,2.38944001926014,2.20852314981975,2.41865837615194,2.52170877883912,2.24705326827689,1.77456742184468,3.75395728787178,4.97142311711689,2.39655160863782,3.35963565441451,2.23586772461903,2.50032558073687,1.8996986752741,2.43871113522274,2.7633687058801,1.9057502459563,2.88451043301253,1.69194677604747,1.57190126707466,1.80184290401421,2.0431157718163,1.76583733368577,4.2227344968019,1.32976553570968,1.48652399775841,1.78406295385048,1.70545700367253
"CC9616__UC-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CC9902__IV",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CCMP1375__LL_II",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GEYO__CRD1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GP2__HL_II",5.83224319046322,6.00601411888244,5.99984744376353,6.10613816117949,5.86214516978423,6.1030502578149,5.95845896164157,5.97460134136013,5.75398057862993,6.05403170602671,6.07877991179634,5.78543470329196,0,0,0,5.67901170621278,0.588467459182902,5.95315562433142,0,0.080745694539475,0,0,0,2.399842818505,5.41838162487334,5.81449623436712,1.83413914399139,0.142090300709246,0,0,0,1.54678361222139,0,1.89472701198427,0,0,0,0,0,2.59762252718921,4.79312278716467,4.72099168936477,0,0
"HIMB2401__II",0,0,0,0,0.117106274503865,0.0139356716703477,0.0187964757607035,0,0,0.029460104767858,0.0323888470479394,0.207006010182132,16.5293518167649,16.135305412138,15.2565785251862,0.603817203337226,14.2506701206634,0.340207860944504,15.6043712099401,15.358383776959,15.420762896223,15.35643221724,15.5605798722302,8.99315434789193,0.954338944577729,0.188535610733799,10.5122043282713,15.2419762070812,14.5494987946715,14.6545662822655,14.6239333405309,10.6388670648694,14.9646396462553,9.86818358368409,16.0328702479052,15.8959017853527,15.4675321418868,15.3865193804435,15.728644676535,7.14695556107536,2.19205357477297,2.07629415207781,15.3201903162783,15.1903432725103
"KORDI100__UC-A",0,0,0,0,0.0484439655745456,0,0.00824572343923229,0,0,0,0.0213510600341748,0.0120779489057785,0,0,0,0,0,0,0,0,0,0,0,0,0.129894692164772,0.0400139000115365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KORDI49__WPC1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KORDI52__WPC2",0,0,0,0,0.0260263843463978,0,0,0,0,0,0,0.0268394506944395,0,0,0,0,0,0,0,0.121927831912718,0,0,0,0,0,0,0,0.126296536358431,0.232570083905899,0.173596805947932,0,0,0,0,0,0,0,0.20248116353558,0,0,0,0,0,0
