Genus,Nearshore,Transition,Offshore,Class,Supergroup
Cyanobium,1,0,0,D_2__Cyanobacteriia,D_0__Bacteria
Atelocyanobacterium (UCYN-A),0,0,1,D_2__Cyanobacteriia,D_0__Bacteria
Crocosphaera,0,0,1,D_2__Cyanobacteriia,D_0__Bacteria
Prochlorococcus,0,0,1,D_2__Cyanobacteriia,D_0__Bacteria
Trichodesmium,0,0,1,D_2__Cyanobacteriia,D_0__Bacteria
Tetraselmis,0,1,0,Chlorodendrophyceae,Archaeplastida
Chloropicon,1,0,0,Chloropicophyceae,Archaeplastida
Bathycoccus,1,0,0,Mamiellophyceae,Archaeplastida
Mamiella,0,1,0,Mamiellophyceae,Archaeplastida
Micromonas,0,1,0,Mamiellophyceae,Archaeplastida
Ostreococcus,0,1,0,Mamiellophyceae,Archaeplastida
unclassified Bathycoccaceae,0,1,0,Mamiellophyceae,Archaeplastida
unclassified Mamiellaceae,0,1,0,Mamiellophyceae,Archaeplastida
Marsupiomonas,1,0,0,Pedinophyceae,Archaeplastida
Resultor,1,0,0,Pedinophyceae,Archaeplastida
Prasinoderma,0,1,0,Prasinodermophyceae,Archaeplastida
Eutreptiella,0,1,0,Euglenida,Excavata
unclassified Hemiselmidaceae,1,0,0,Cryptophyceae,Hacrobia
Proteomonas,0,1,0,Cryptophyceae,Hacrobia
Braarudosphaera,0,0,1,Prymnesiophyceae,Hacrobia
Phaeocystis,0,0,1,Prymnesiophyceae,Hacrobia
unclassified Prymnesiaceae,0,0,1,Prymnesiophyceae,Hacrobia
Chaetoceros,1,0,0,Bacillariophyta,Stramenopiles
unclassified Polar-centric-Mediophyceae,1,0,0,Bacillariophyta,Stramenopiles
unclassified Radial-centric-basal-Coscinodiscophyceae,1,0,0,Bacillariophyta,Stramenopiles
unclassified Raphid-pennate,1,0,0,Bacillariophyta,Stramenopiles
Thalassionema,0,1,0,Bacillariophyta,Stramenopiles
Ochromonas,0,0,1,Chrysophyceae,Stramenopiles
Helicopedinella,1,0,0,Dictyochophyceae,Stramenopiles
Mesopedinella,0,0,1,Dictyochophyceae,Stramenopiles
unclassified Pedinellales,0,0,1,Dictyochophyceae,Stramenopiles
Aureococcus,1,0,0,Pelagophyceae,Stramenopiles
unclassified Pelagomonadaceae,0,0,1,Pelagophyceae,Stramenopiles
