,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated
ea325221e74caca2941b3bc9db57c62d,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Cyanobium_PCC-6307,D_6__uncultured_cyanobacterium,ea325221e74caca2941b3bc9db57c62d,Cyanobacteria:Cyanobium
1bff589486f68e77b4476d6837244cd6,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Prochlorococcus_MIT9313,,1bff589486f68e77b4476d6837244cd6,Cyanobacteria:Prochlorococcus
c4c69ec041fd6bae7de4e690ed25d033,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Synechococcus_CC9902,,c4c69ec041fd6bae7de4e690ed25d033,Cyanobacteria:Synechococcus
85125408ea648cf8e6317b860cd2f1ac,Eukaryota_plas,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,unclassified_Polar-centric-Mediophyceae,,85125408ea648cf8e6317b860cd2f1ac,Stramenopiles:Bacillariophyta
5e7894007198ccd65ab8b06f349d8ee3,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,5e7894007198ccd65ab8b06f349d8ee3,Archaeplastida:Mamiellophyceae
ec3cc423287ce0d25882127b6553d85b,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,Mamiella_gilva,ec3cc423287ce0d25882127b6553d85b,Archaeplastida:Mamiellophyceae
b313fb940989d495b780f97175df05f5,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,unclassified_Bathycoccaceae,,b313fb940989d495b780f97175df05f5,Archaeplastida:Mamiellophyceae
47e0463d97f67bf6288a979f3ff70bfb,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,47e0463d97f67bf6288a979f3ff70bfb,Archaeplastida:Mamiellophyceae
936685ee710e6e0ad190df2c0e863f75,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,936685ee710e6e0ad190df2c0e863f75,Archaeplastida:Mamiellophyceae
bf0c8fa75326dd2c6ed5575c14c9cb20,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,bf0c8fa75326dd2c6ed5575c14c9cb20,Archaeplastida:Mamiellophyceae
406bb14741ded383380219611b8564d9,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,406bb14741ded383380219611b8564d9,Archaeplastida:Mamiellophyceae
300296cb89902c1721ff71f7cbc316b7,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,300296cb89902c1721ff71f7cbc316b7,Archaeplastida:Mamiellophyceae
52cabdec57d89b6398eee15c5fb93006,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,52cabdec57d89b6398eee15c5fb93006,Archaeplastida:Mamiellophyceae
af4837e862b10d7ddccc1b0885fc77c8,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,af4837e862b10d7ddccc1b0885fc77c8,Archaeplastida:Mamiellophyceae
49db984d738a8889309dfffd963f5a75,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,49db984d738a8889309dfffd963f5a75,Archaeplastida:Micromonas
c289fa66402d05b139a37184d8e4180e,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,c289fa66402d05b139a37184d8e4180e,Archaeplastida:Micromonas
230fe9b9f06cfb26e80419c5bda4d5ae,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Micromonas,unclassified_Micromonas,230fe9b9f06cfb26e80419c5bda4d5ae,Archaeplastida:Micromonas
