name	bin_id	collection_id	profile_db_path	contigs_db_path
MITS9509	MITS9509	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MITS9508	MITS9508	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
GEYO	GEYO	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
UW179A	UW179A	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MED4	MED4	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9515	MIT9515	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
AS9601	AS9601	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9301	MIT9301	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9215	MIT9215	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9202	MIT9202	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9107	MIT9107	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
GP2	GP2	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9201	MIT9201	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9302	MIT9302	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9311	MIT9311	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9314	MIT9314	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
MIT9321	MIT9321	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
SB	SB	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
CC9311	CC9311	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
WH8016	WH8016	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
WH8020	WH8020	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
UW179B	UW179B	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
CC9605	CC9605	Genomes	cyanoApril2024-MERGED/PROFILE.db	cyanoApril2024-CONTIGS.db
