name	bin_id	collection_id	profile_db_path	contigs_db_path
AS9601	AS9601	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
BL107	BL107	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CB0101	CB0101	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CC9311	CC9311	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CC9605	CC9605	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CC9616	CC9616	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CC9902	CC9902	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
CCMP1375	CCMP1375	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
GEYO	GEYO	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
GP2	GP2	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
KORDI100	KORDI100	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
KORDI49	KORDI49	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
KORDI52	KORDI52	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MED4	MED4	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9107	MIT9107	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9201	MIT9201	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9202	MIT9202	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9211	MIT9211	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9215	MIT9215	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9301	MIT9301	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9302	MIT9302	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9303	MIT9303	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9311	MIT9311	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9313	MIT9313	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9314	MIT9314	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9321	MIT9321	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9508	MIT9508	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MIT9515	MIT9515	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
MITS9509	MITS9509	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
N19	N19	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
N26	N26	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
N32	N32	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
N5	N5	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
NATL1A	NATL1A	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
NATL2A	NATL2A	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
PAC1	PAC1	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
PCC6307	PCC6307	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
PCC7001	PCC7001	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
RCC307	RCC307	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
RS9916	RS9916	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
RS9917	RS9917	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
SB	SB	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW105	UW105	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW106	UW106	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW140	UW140	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW179A	UW179A	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW179B	UW179B	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW69	UW69	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
UW86	UW86	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH7803	WH7803	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH7805	WH7805	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH8016	WH8016	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH8020	WH8020	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH8102	WH8102	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
WH8109	WH8109	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
cyano3B	cyano3B	Genomes	cyano-MERGED/PROFILE.db	cyano-CONTIGS.db
