GCF_000011465.1	MED4
GCF_000015665.1	MIT9515
GCF_000015645.1	AS9601
GCF_000015965.1	MIT9301
GCF_000018065.1	MIT9215
GCF_000158595.1	MIT9202
GCF_000759855.1	MIT9107
GCF_000759885.1	GP2
GCF_000759955.1	MIT9201
GCF_000759975.1	MIT9302
GCF_000760015.1	MIT9311
GCF_000760035.1	MIT9314
GCF_000760055.1	MIT9321
GCF_000760115.1	SB
GCF_000012465.1	NATL2A
GCF_000015685.1	NATL1A
GCF_000760235.1	PAC1
GCF_000007925.1	CCMP1375
GCF_000018585.1	MIT9211
GCF_000015705.1	MIT9303
GCF_000011485.1	MIT9313
GCF_001631935.1	MITS9509
GCF_001632165.1	MITS9508
GCF_900473955.1	GEYO
GCF_900473965.1	UW179A
GCF_000014585.1	CC9311
GCF_000230675.1	WH8016
GCF_001040845.1	WH8020
GCF_900474245.1	UW179B
GCF_000012625.1	CC9605
GCF_000161795.2	WH8109
GCF_900473895.1	N32
GCF_900473925.1	N5
GCF_900473975.1	N26
GCF_900474045.1	N19
GCF_900474085.1	UW86
GCF_000195975.1	WH8102
GCF_000012505.1	CC9902
GCF_000153805.1	BL107
GCF_000153825.1	RS9916
GCF_000515235.1	CC9616
GCF_000737535.1	KORDI100
GCF_000063505.1	WH7803
GCF_000153285.1	WH7805
GCF_000153065.1	RS9917
GCF_000737575.1	KORDI49
GCF_000737595.1	KORDI52
GCF_900474015.1	UW106
GCF_900474185.1	UW69
GCF_900473935.1	UW105
GCF_900474295.1	UW140
GCF_000316515.1	PCC6307
GCF_000155635.1	PCC7001
GCF_000179235.2	CB0101
GCF_000063525.1	RCC307
GCF_000011385.1	PCC7421
HIMB2401	HIMB2401

