"","OTUID","Domain.x","Supergroup.x","Phylum.x","Class.x","Order.x","Family.x","Genus.x","Species.x","ASV.x","Domain.y","Supergroup.y","Phylum.y","Class.y","Order.y","Family.y","Genus.y","Species.y","ASV.y","Domain_confidence","Supergroup_confidence","Phylum_confidence","Class_confidence","Order_confidence","Family_confidence","Genus_confidence","Species_confidence"
"1","b5ff10d0db58b911c690f70b36338c8d","D_0__Bacteria","D_0__Bacteria","D_1__Bdellovibrionota","D_2__Bdellovibrionia","D_3__Bdellovibrionales","D_4__Bdellovibrionaceae","D_5__OM27_clade","D_6__uncultured_delta","b5ff10d0db58b911c690f70b36338c8d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","4088937ea5d27a51781f7e5ebf2c0d1e","D_0__Bacteria","D_0__Bacteria","D_1__Bdellovibrionota","D_2__Bdellovibrionia","D_3__Bdellovibrionales","D_4__Bdellovibrionaceae","D_5__OM27_clade","D_6__uncultured_delta","4088937ea5d27a51781f7e5ebf2c0d1e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","43d34aa7aed85d6768a57530b3d3f1db","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__Akkermansiaceae","D_5__Akkermansia","D_6__uncultured_bacterium","43d34aa7aed85d6768a57530b3d3f1db",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","2f150a1566f9f38b0a9f0e25095da046","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","D_6__uncultured_marine","2f150a1566f9f38b0a9f0e25095da046",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","6a49e10221088b8093130ab405a93676","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","","6a49e10221088b8093130ab405a93676",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","6bbd06e47cd9909c5a2d77f0899419c9","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","","6bbd06e47cd9909c5a2d77f0899419c9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","008e98254d96d193c790eacf1722f0fb","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","D_6__uncultured_marine","008e98254d96d193c790eacf1722f0fb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","8557a1261a2d4fc2fcd51fe879aaa038","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","","8557a1261a2d4fc2fcd51fe879aaa038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","12cd99c689197816636e7fd2e5ceb4ef","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","D_6__uncultured_marine","12cd99c689197816636e7fd2e5ceb4ef",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","59ae7bb751f833df44a760bd90493195","D_0__Bacteria","D_0__Bacteria","D_1__Verrucomicrobiota","D_2__Verrucomicrobiae","D_3__Verrucomicrobiales","D_4__DEV007","D_5__DEV007","D_6__uncultured_bacterium","59ae7bb751f833df44a760bd90493195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
