OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Domain_confidence,Supergroup_confidence,Phylum_confidence,Class_confidence ,Order_confidence,Family_confidence,Genus_confidence,Species_confidence
00261482f21b019fa05f1137e7b28a4a, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Chlorodendrophyceae:plas, Chlorodendrales:plas, Chlorodendraceae:plas, Tetraselmis:plas, unclassified_Tetraselmis:plas,00261482f21b019fa05f1137e7b28a4a,86.1,86.1,86.1,86.1,86.1,86.1,85.4,85.4
0032fa9e7bb07ae8dd0a4958274ddae9, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Prasino-Clade-9:plas, Prasino-Clade-9_X:plas, Prasino-Clade-9_XX:plas, Prasino-Clade-9_XXX:plas, Prasino-Clade-9_XXX_sp.:plas,0032fa9e7bb07ae8dd0a4958274ddae9,93,93,82.9,82.9,82.9,82.9,82.9,82.9
012164d93f665dc288cffeaac400e065, Eukaryota, Stramenopiles, Ochrophyta, Pelagophyceae, Pelagomonadales, Pelagomonadaceae, Pelagomonas, Pelagomonas_calceolata,012164d93f665dc288cffeaac400e065,100,100,100,100,96.2,96.2,87.4,87.4
012767919495fd14380830bae15e8da2, Eukaryota, Stramenopiles, Sagenista, MAST-4, MAST-4C, MAST-4C_X, MAST-4C_XX, MAST-4C_XX_sp.,012767919495fd14380830bae15e8da2,97.1,97.1,96.4,96.4,86.3,86.3,86.3,86.3
01e3d73fa64a2f6b2a0329089680ef4f, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, unclassified_Polar-centric-Mediophyceae:plas,,01e3d73fa64a2f6b2a0329089680ef4f,96.8,96.8,96.8,96.8,96.8,77.2,77.2,
01e781c17fa114c106d91684d32b5e97, unclassified_Root,,,,,,,,01e781c17fa114c106d91684d32b5e97,61.5,,,,,,,
024dcc1ab6ba58bbb754448afd9c1127, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Mamiellophyceae:plas, Mamiellales:plas, Bathycoccaceae:plas, Ostreococcus:plas, unclassified_Ostreococcus:plas,024dcc1ab6ba58bbb754448afd9c1127,95.5,95.5,95.5,95.5,95.5,95.5,94.4,94.4
02905a5c1f922e04f5c42da23de219cd, Eukaryota:plas, Archaeplastida:plas, Prasinodermophyta:plas, Prasinodermophyceae:plas, Prasinodermales:plas, Prasinodermaceae:plas, Prasinoderma:plas, unclassified_Prasinoderma:plas,02905a5c1f922e04f5c42da23de219cd,69.7,66.2,65.6,65.6,65.6,65.6,65.6,65.6
02a5711483b3d6d91921179831561739, unclassified_Root,,,,,,,,02a5711483b3d6d91921179831561739,51.8,,,,,,,
02e0e1cda1ef661c106ca7a742f2a82c, unclassified_Root,,,,,,,,02e0e1cda1ef661c106ca7a742f2a82c,40.3,,,,,,,
02f6c2f47956bb9e0f1f3ed1358bac50, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Dictyochophyceae:plas, Dictyochophyceae_X:plas, Dictyochophyceae_XX:plas, Dictyochophyceae_XXX:plas, Dictyochophyceae_XXX_sp.:plas,02f6c2f47956bb9e0f1f3ed1358bac50,100,100,100,100,100,62,62,62
031a6464af7c837f39e4336a1dd91141, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Suessiales, Suessiaceae, unclassified_Suessiaceae,,031a6464af7c837f39e4336a1dd91141,100,100,100,100,97.2,97.2,97.2,
03296caf3fa6eb808ac51270bcfb0b28, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Prymnesiales:plas, Prymnesiaceae:plas, unclassified_Prymnesiaceae:plas,,03296caf3fa6eb808ac51270bcfb0b28,100,100,100,100,83,69,69,
038a0859b692c1e6f04597f8f7a6a196, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Raphid-pennate:plas, unclassified_Raphid-pennate:plas,,038a0859b692c1e6f04597f8f7a6a196,99.9,99.9,99.9,99.9,99.9,70.3,70.3,
043e84656b0027fc6a29619c435a51cb, unclassified_Root,,,,,,,,043e84656b0027fc6a29619c435a51cb,61.4,,,,,,,
04624781bedea87902af8ece091098d8, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Chlorodendrophyceae:plas, Chlorodendrales:plas, Chlorodendraceae:plas, Tetraselmis:plas, Tetraselmis_sp.:plas,04624781bedea87902af8ece091098d8,100,100,100,100,100,100,100,94
0488881eda9d6a04dc611c4a4095d328, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, unclassified_Ochrophyta:plas,,,,,0488881eda9d6a04dc611c4a4095d328,76.6,67,67,67,,,,
055c9eeddbc63597d9ab48ea8f3a17fd, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Gymnodiniales, Gymnodiniaceae, unclassified_Gymnodiniaceae,,055c9eeddbc63597d9ab48ea8f3a17fd,86.5,85.9,85.9,85.1,65,62.9,62.9,
05adbf79158704f4d69b1c6df7bb7a50, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,05adbf79158704f4d69b1c6df7bb7a50,94.1,94.1,94.1,94.1,94.1,94.1,,
05b3ff3ffa3d33475c762422c1085887, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,05b3ff3ffa3d33475c762422c1085887,97.4,97.4,97.4,96.4,96.4,96.4,,
05dca88d5377e51399436097823b848e, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Gymnodiniales, Gymnodiniaceae, unclassified_Gymnodiniaceae,,05dca88d5377e51399436097823b848e,84.3,84.3,84.3,84.3,68.6,67.5,67.5,
06ace7b5db32e2591a9a18e667185e4c, Eukaryota, Alveolata, Ciliophora, Spirotrichea, Tintinnida, unclassified_Tintinnida,,,06ace7b5db32e2591a9a18e667185e4c,76.7,76.7,76.7,76,75.3,75.3,,
06bd774c997f5c265447902d7c8cf409, Eukaryota, Rhizaria, Cercozoa, Filosa-Imbricatea, Filosa-Imbricatea_X, Novel-clade-2, Novel-clade-2_X, Novel-clade-2_X_sp.,06bd774c997f5c265447902d7c8cf409,100,100,100,100,100,100,100,100
0708d901b522b3971c9500082feefd62, unclassified_Root,,,,,,,,0708d901b522b3971c9500082feefd62,43.5,,,,,,,
07b1a31ad25ded00fee0cc6006820b58, unclassified_Root,,,,,,,,07b1a31ad25ded00fee0cc6006820b58,44.6,,,,,,,
081632dffed22007908cf51af294502b, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, unclassified_Ochrophyta:plas,,,,,081632dffed22007908cf51af294502b,70.5,66.8,66.8,66.8,,,,
0898ecf188e8daf8f87e654b87ad9469, unclassified_Root,,,,,,,,0898ecf188e8daf8f87e654b87ad9469,35.7,,,,,,,
08ce01e71044bcf6335db0b664c0d0e4, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,08ce01e71044bcf6335db0b664c0d0e4,100,98.6,98.6,98.6,98.6,,,
092f07f2a17b333f92b886afa1b534d0, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, Peridiniales, Protoperidiniaceae, Protoperidinium, Protoperidinium_bipes,092f07f2a17b333f92b886afa1b534d0,95.1,95.1,95.1,95.1,95.1,95.1,95.1,86.2
0949930e9a7811216960797119fd0a78, Eukaryota, Archaeplastida, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Mantoniella, unclassified_Mantoniella,0949930e9a7811216960797119fd0a78,100,100,100,100,100,100,92.9,92.9
094a06e82b907ef2f4864ea4a5b06984, Eukaryota:plas, Archaeplastida:plas, unclassified_Archaeplastida:plas,,,,,,094a06e82b907ef2f4864ea4a5b06984,62.5,60.7,60.7,,,,,
0a474686e6615f230a75dc3b07db3cea, Eukaryota:plas, Hacrobia:plas, Cryptophyta:plas, Cryptophyceae:plas, Cryptomonadales:plas, Cryptomonadales_X:plas, unclassified_Cryptomonadales_X:plas,,0a474686e6615f230a75dc3b07db3cea,99.6,99.6,99.6,99.6,93,91.6,91.6,
0a5c76e37a78364e557e08b7b7f4a6bb, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, unclassified_Polar-centric-Mediophyceae:plas,,0a5c76e37a78364e557e08b7b7f4a6bb,98.6,98.6,98.6,97.5,97.5,63.8,63.8,
0aeacd83026abb3797894515cf7fd262, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, Chaetoceros:plas, unclassified_Chaetoceros:plas,0aeacd83026abb3797894515cf7fd262,99.8,99.8,99.8,99.8,99.8,85.1,73.9,73.9
0b45d16cc99dcdc9b5bc12b637c5d971, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Polar-centric-Mediophyceae:plas, Chaetoceros:plas, unclassified_Chaetoceros:plas,0b45d16cc99dcdc9b5bc12b637c5d971,100,100,100,100,100,93.2,82.8,82.8
0b8d414e60339117569a60ff2498bd35, unclassified_Root,,,,,,,,0b8d414e60339117569a60ff2498bd35,47.5,,,,,,,
0c0ddc898542f2d3d9add5dc8ed117c1, Eukaryota, Stramenopiles, Ochrophyta, Bacillariophyta, Bacillariophyta_X, Polar-centric-Mediophyceae, Bacteriastrum, Bacteriastrum_parallelum,0c0ddc898542f2d3d9add5dc8ed117c1,88.5,88.5,88.5,88.5,88.5,87.9,87.9,86.9
0c33134832f65051d9296c24b3195d46, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bolidophyceae:plas, Parmales:plas, Triparmaceae:plas, Triparma:plas, unclassified_Triparma:plas,0c33134832f65051d9296c24b3195d46,100,100,100,98.8,98.8,98.8,98.8,98.8
0c72c6477f948997f72a7d3e52b8fc5e, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Nephroselmidophyceae:plas, Nephroselmidales:plas, Nephroselmidales_X:plas, Nephroselmis:plas, Nephroselmis_pyriformis:plas,0c72c6477f948997f72a7d3e52b8fc5e,84.6,84.6,83.9,81.4,81.4,81.4,81.4,80.7
0d2e194b0d5a0087d25f18e59544f55f, Eukaryota, Stramenopiles, Ochrophyta, Dictyochophyceae, Dictyochophyceae_X, unclassified_Dictyochophyceae_X,,,0d2e194b0d5a0087d25f18e59544f55f,91.8,91.8,91.8,91.8,91.8,91.8,,
0d2fef790750acb309a2cc43311050e1, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,0d2fef790750acb309a2cc43311050e1,100,100,100,100,100,100,,
0d5afc84ed1d93122af51ae379e897a4, Eukaryota:plas, Archaeplastida:plas, Chlorophyta:plas, Chlorodendrophyceae:plas, Chlorodendrales:plas, Chlorodendraceae:plas, Tetraselmis:plas, unclassified_Tetraselmis:plas,0d5afc84ed1d93122af51ae379e897a4,95.9,95.9,95.9,95.9,95.9,95.9,93.6,93.6
0da1f7f6d0b52839c608e5f7c47c83a6, unclassified_Root,,,,,,,,0da1f7f6d0b52839c608e5f7c47c83a6,38.1,,,,,,,
0e04215a0f16c8345f4e057934d2b2f2, unclassified_Root,,,,,,,,0e04215a0f16c8345f4e057934d2b2f2,44.2,,,,,,,
0e09b29458a4259302ee704ea3d4930d, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Chrysophyceae:plas, Chrysophyceae_X:plas, unclassified_Chrysophyceae_X:plas,,,0e09b29458a4259302ee704ea3d4930d,96.5,96.5,96.5,90.3,90.3,90.3,,
0e35ef954c91289f92cadb9b36a2644d, Eukaryota, Stramenopiles, Ochrophyta, Dictyochophyceae, Dictyochophyceae_X, Dictyochales, unclassified_Dictyochales,,0e35ef954c91289f92cadb9b36a2644d,100,100,100,100,100,100,100,
0e78f5423ef33d83c884c778a9e84fb0, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, unclassified_Bacillariophyta_X:plas,,,0e78f5423ef33d83c884c778a9e84fb0,100,100,100,100,100,100,,
0e805246af59fc41e7c5f075f8f15c91, Eukaryota, Archaeplastida, Chlorophyta, Mamiellophyceae, Mamiellales, Mamiellaceae, Micromonas, Micromonas_clade_B4,0e805246af59fc41e7c5f075f8f15c91,100,100,100,100,100,100,99.1,99.1
0edd1294fc2810ccb47c42b81c006e4d, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,0edd1294fc2810ccb47c42b81c006e4d,99.8,96.4,96.4,96.4,96.4,,,
0ef9c848811a7d05e49ab8290d17ba3a, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, unclassified_Prymnesiophyceae:plas,,,,0ef9c848811a7d05e49ab8290d17ba3a,95.5,95.5,95.5,95.5,95.5,,,
0f554aa2d9d2a91bfad1021f2682fea0, Eukaryota:plas, Hacrobia:plas, Haptophyta:plas, Prymnesiophyceae:plas, Prymnesiophyceae_X:plas, Braarudosphaeraceae:plas, Braarudosphaeraceae_X:plas, Braarudosphaeraceae_X_sp.:plas,0f554aa2d9d2a91bfad1021f2682fea0,93.9,93.9,93.9,93,75.9,67.9,67.9,67.9
0f67af901ff39a9793343945d30c4df4, Eukaryota, Archaeplastida, Chlorophyta, Mamiellophyceae, Mamiellales, Bathycoccaceae, Ostreococcus, Ostreococcus_clade_B,0f67af901ff39a9793343945d30c4df4,100,100,100,100,100,100,100,75.1
0f873f61f8e43a2a53429be76754d472, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,0f873f61f8e43a2a53429be76754d472,68.5,68.1,67.3,66,66,,,
106e8b75772b493881f6ddfabef3d0c1, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Raphid-pennate:plas, Amphora:plas, Amphora_sp.:plas,106e8b75772b493881f6ddfabef3d0c1,98.2,98.2,98.2,97,97,90.5,81.7,81.7
108963fef1fa9e3f54f700156dc1b501, Eukaryota, Opisthokonta, Metazoa, Arthropoda, Crustacea, Maxillopoda, Bestiolina, Bestiolina_similis,108963fef1fa9e3f54f700156dc1b501,88.1,88.1,88.1,88.1,88.1,88.1,84.8,72.4
10dcc2184bd1bfaceb21fd147dc3241a, Eukaryota:plas, Archaeplastida:plas, Prasinodermophyta:plas, Palmophyllophyceae:plas, Prasinococcales:plas, Prasinococcales_X:plas, Prasinococcales_XX:plas, Prasinococcales_XX_sp.:plas,10dcc2184bd1bfaceb21fd147dc3241a,100,100,88.2,88.2,88.2,88.2,88.2,88.2
11130f3b9aa9d601a02aa02990f4870d, Eukaryota, Alveolata, Dinoflagellata, Dinophyceae, unclassified_Dinophyceae,,,,11130f3b9aa9d601a02aa02990f4870d,100,98.9,98.9,98.9,98.9,,,
11966f074830881c73a19d1f3c9d801d, Eukaryota:plas, Stramenopiles:plas, Ochrophyta:plas, Bacillariophyta:plas, Bacillariophyta_X:plas, Raphid-pennate:plas, unclassified_Raphid-pennate:plas,,11966f074830881c73a19d1f3c9d801d,99.8,99.8,99.8,99.8,99.8,76.9,76.9,
