OTUID,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV
b5ff10d0db58b911c690f70b36338c8d,D_0__Bacteria,D_0__Bacteria,D_1__Bdellovibrionota,D_2__Bdellovibrionia,D_3__Bdellovibrionales,D_4__Bdellovibrionaceae,D_5__OM27_clade,D_6__uncultured_delta,b5ff10d0db58b911c690f70b36338c8d
4088937ea5d27a51781f7e5ebf2c0d1e,D_0__Bacteria,D_0__Bacteria,D_1__Bdellovibrionota,D_2__Bdellovibrionia,D_3__Bdellovibrionales,D_4__Bdellovibrionaceae,D_5__OM27_clade,D_6__uncultured_delta,4088937ea5d27a51781f7e5ebf2c0d1e
43d34aa7aed85d6768a57530b3d3f1db,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Akkermansiaceae,D_5__Akkermansia,D_6__uncultured_bacterium,43d34aa7aed85d6768a57530b3d3f1db
2f150a1566f9f38b0a9f0e25095da046,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,D_6__uncultured_marine,2f150a1566f9f38b0a9f0e25095da046
6a49e10221088b8093130ab405a93676,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,,6a49e10221088b8093130ab405a93676
6bbd06e47cd9909c5a2d77f0899419c9,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,,6bbd06e47cd9909c5a2d77f0899419c9
008e98254d96d193c790eacf1722f0fb,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,D_6__uncultured_marine,008e98254d96d193c790eacf1722f0fb
8557a1261a2d4fc2fcd51fe879aaa038,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,,8557a1261a2d4fc2fcd51fe879aaa038
12cd99c689197816636e7fd2e5ceb4ef,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,D_6__uncultured_marine,12cd99c689197816636e7fd2e5ceb4ef
59ae7bb751f833df44a760bd90493195,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__DEV007,D_5__DEV007,D_6__uncultured_bacterium,59ae7bb751f833df44a760bd90493195
03976b4808b5769c8f3b60b2fdd0a5df,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Roseibacillus,D_6__marine_metagenome,03976b4808b5769c8f3b60b2fdd0a5df
df4ea5ea8295a3be32a5b490acd4d153,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Roseibacillus,D_6__uncultured_Verrucomicrobiaceae,df4ea5ea8295a3be32a5b490acd4d153
898c553d98083e38608e83d9d301a16d,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Roseibacillus,D_6__uncultured_Verrucomicrobiaceae,898c553d98083e38608e83d9d301a16d
9c2f890c762102f2436f206e70985156,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Luteolibacter,D_6__unidentified_marine,9c2f890c762102f2436f206e70985156
c7452b2a0474a8b38febeeb28c5fdf18,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Luteolibacter,D_6__unidentified_marine,c7452b2a0474a8b38febeeb28c5fdf18
2d68caf9223b1815096b6574d0cada04,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,2d68caf9223b1815096b6574d0cada04
6e61feab642ba410bcb092bfad914e3b,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_Rubritalea,6e61feab642ba410bcb092bfad914e3b
e525ca3ff477d0ac774cd31998298857,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__Rubritalea_sp.,e525ca3ff477d0ac774cd31998298857
c7e9cf40ffbfcb66fa8de0f2e23b0aeb,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,,c7e9cf40ffbfcb66fa8de0f2e23b0aeb
549ff6b59faf321a3ba63403d6e40c7a,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,549ff6b59faf321a3ba63403d6e40c7a
1ba004297712557b7652f4a9b526a831,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,,1ba004297712557b7652f4a9b526a831
f50e441a83bd6b274fda921d27ad8ad4,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,f50e441a83bd6b274fda921d27ad8ad4
f0030d5877e44c3c7b16c931f079968b,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,f0030d5877e44c3c7b16c931f079968b
06d192b184895919ab94deafc9fe3ff7,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,06d192b184895919ab94deafc9fe3ff7
d76f4ee500fc32c13837bf007d50ce1b,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,d76f4ee500fc32c13837bf007d50ce1b
3247d74876edd33b4cad68641d207b37,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,3247d74876edd33b4cad68641d207b37
9a35bd52c187c0b27161b0f9c4a551cb,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,9a35bd52c187c0b27161b0f9c4a551cb
90a5f5e5d09fc1fdd456a2b3f170e652,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,90a5f5e5d09fc1fdd456a2b3f170e652
1340462fc1574fe96905161288e76f5e,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,1340462fc1574fe96905161288e76f5e
440763f559e18bd740cb0a4418b82cc8,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,440763f559e18bd740cb0a4418b82cc8
86482c605b86f3df30ab91ec2ee04e54,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Verrucomicrobiae,D_3__Verrucomicrobiales,D_4__Rubritaleaceae,D_5__Rubritalea,D_6__uncultured_bacterium,86482c605b86f3df30ab91ec2ee04e54
58ae99fa4bcc4210bd0c23cb8c48a612,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Kiritimatiellae,D_3__Kiritimatiellales,D_4__Kiritimatiellaceae,D_5__uncultured,D_6__uncultured_bacterium,58ae99fa4bcc4210bd0c23cb8c48a612
799b99565fbb85ca6c42623575e31516,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Kiritimatiellae,D_3__Kiritimatiellales,D_4__Kiritimatiellaceae,D_5__R76-B128,D_6__uncultured_bacterium,799b99565fbb85ca6c42623575e31516
92cde1eaa1090f6738b4f7961a2e5a6d,D_0__Bacteria,D_0__Bacteria,D_1__Verrucomicrobiota,D_2__Kiritimatiellae,D_3__Kiritimatiellales,D_4__Kiritimatiellaceae,D_5__R76-B128,D_6__uncultured_bacterium,92cde1eaa1090f6738b4f7961a2e5a6d
