,Domain,Supergroup,Phylum,Class,Order,Family,Genus,Species,ASV,Curated_v4,occurrence,occur,totalrelabunMax,totalrelabun_max_class,phytorelabunMax,phytorelabun_max_class,phytorelabunMedian,order_original,Curated_kind,CuratedASV,Genus_ASV,order.heatmap,Order.tax.heatmap,CO_log2FoldChange,CO_padj,CO_baseMean,Coastal_Offshore,CT_log2FoldChange,CT_padj,CT_baseMean,Coastal_Transition,TO_log2FoldChange,TO_padj,TO_baseMean,Transition_Offshore,DeSeq_Spatial,v2_Offshore_periodicity_qval,v2_Periodicity_Offshore,v2_Transition_periodicity_qval,v2_Periodicity_Transition,v2_Coastal_periodicity_qval,v2_Periodicity_Coastal,Periodicity_Spatial_v2
ea325221e74caca2941b3bc9db57c62d,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Cyanobium_PCC-6307,D_6__uncultured_cyanobacterium,ea325221e74caca2941b3bc9db57c62d,Cyanobacteria:Cyanobium,frequent,91.26,7.67,abundant,30.12,dominant,1.64,3737,Phyto,ASV1,D_5__Cyanobium_PCC-6307_ASV1,1,A_Cyanobacteria:Cyanobium_D_5__Cyanobium_PCC-6307_ASV1,2.205415049,1.70E-18,201.50866,Coastal_Offshore,NA,NA,NA,NA,2.037664881,2.24E-12,201.50866,Transition_Offshore,DeSeq_Spatial,1.58E-11,v2_periodic_Offshore,8.91E-11,v2_periodic_Transition,1.39E-27,v2_periodic_Coastal,Periodic_v2
1bff589486f68e77b4476d6837244cd6,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Prochlorococcus_MIT9313,,1bff589486f68e77b4476d6837244cd6,Cyanobacteria:Prochlorococcus,common,72.68,20.84,abundant,56.3,dominant,0.69,3732,Phyto,ASV3,D_5__Prochlorococcus_MIT9313_ASV3,2,A_Cyanobacteria:Prochlorococcus_D_5__Prochlorococcus_MIT9313_ASV3,-7.914262066,1.10E-75,2015.995329,Coastal_Offshore,-4.125278915,1.39E-30,2015.995329,Coastal_Transition,-3.788983151,5.56E-14,2015.995329,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,4.30E-13,v2_periodic_Coastal,Periodic_v2
c4c69ec041fd6bae7de4e690ed25d033,D_0__Bacteria,D_0__Bacteria,D_1__Cyanobacteria,D_2__Cyanobacteriia,D_3__Synechococcales,D_4__Cyanobiaceae,D_5__Synechococcus_CC9902,,c4c69ec041fd6bae7de4e690ed25d033,Cyanobacteria:Synechococcus,universal,100,37.83,dominant,79.15,dominant,46.81,3724,Phyto,ASV4,D_5__Synechococcus_CC9902_ASV4,3,A_Cyanobacteria:Synechococcus_D_5__Synechococcus_CC9902_ASV4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.009903878,v2_periodic_Offshore,1.90E-06,v2_periodic_Transition,0.000117399,v2_periodic_Coastal,Periodic_v2
85125408ea648cf8e6317b860cd2f1ac,Eukaryota_plas,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,unclassified_Polar-centric-Mediophyceae,,85125408ea648cf8e6317b860cd2f1ac,Stramenopiles:Bacillariophyta,frequent,93.44,14.75,abundant,35.65,dominant,1.73,3917,Phyto,ASV2,unclassified_Polar-centric-Mediophyceae_ASV2,4,A_Stramenopiles:Diatoms_unclassified_Polar-centric-Mediophyceae_ASV2,1.918502128,2.01E-09,379.4396001,Coastal_Offshore,NA,NA,NA,NA,2.265930738,9.72E-10,379.4396001,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,9.43E-07,v2_periodic_Coastal,Periodic_v2
5e7894007198ccd65ab8b06f349d8ee3,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,5e7894007198ccd65ab8b06f349d8ee3,Archaeplastida:Mamiellophyceae,common,72.13,1.31,abundant,4.35,abundant,0.33,353,Phyto,ASV189,Bathycoccus_ASV189,5,B_Archaeplastida:Bathycoccus_Bathycoccus_ASV189,4.482091946,2.91E-37,35.94474376,Coastal_Offshore,1.494273574,1.85E-09,35.94474376,Coastal_Transition,2.987818373,5.24E-14,35.94474376,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
ec3cc423287ce0d25882127b6553d85b,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,Mamiella_gilva,ec3cc423287ce0d25882127b6553d85b,Archaeplastida:Mamiellophyceae,common,18.58,0.17,minor,0.89,abundant,0,362,Phyto,ASV33,Mamiella_ASV33,6,B_Archaeplastida:Mamiellophyceae_Mamiella_ASV33,NA,NA,NA,NA,-2.813222643,0.005769773,7.458374502,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
b313fb940989d495b780f97175df05f5,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,unclassified_Bathycoccaceae,,b313fb940989d495b780f97175df05f5,Archaeplastida:Mamiellophyceae,common,41.8,3.56,abundant,10.21,abundant,0,356,Phyto,ASV224,unclassified_Bathycoccaceae_ASV224,7,B_Archaeplastida:Mamiellophyceae_unclassified_Bathycoccaceae_ASV224,3.654732329,1.28E-06,41.89019161,Coastal_Offshore,NA,NA,NA,NA,4.218674215,1.59E-06,41.89019161,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
47e0463d97f67bf6288a979f3ff70bfb,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,47e0463d97f67bf6288a979f3ff70bfb,Archaeplastida:Mamiellophyceae,common,68.31,2.18,abundant,6.81,abundant,0.73,346,Phyto,ASV210,unclassified_Mamiellaceae_ASV210,8,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV210,NA,NA,NA,NA,-0.990117682,0.016734166,103.680891,Coastal_Transition,1.715865137,0.001899073,103.680891,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
936685ee710e6e0ad190df2c0e863f75,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,936685ee710e6e0ad190df2c0e863f75,Archaeplastida:Mamiellophyceae,common,65.3,2.49,abundant,8.25,abundant,0.88,347,Phyto,ASV216,unclassified_Mamiellaceae_ASV216,9,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV216,-2.504691329,8.68E-07,185.0146749,Coastal_Offshore,-1.132795461,0.015744756,185.0146749,Coastal_Transition,-1.371895869,0.034652922,185.0146749,Transition_Offshore,DeSeq_Spatial,NA,NA,NA,NA,1.50E-25,v2_periodic_Coastal,Periodic_v2
bf0c8fa75326dd2c6ed5575c14c9cb20,Eukaryota_plas,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,unclassified_Mamiellaceae,,bf0c8fa75326dd2c6ed5575c14c9cb20,Archaeplastida:Mamiellophyceae,rare,8.74,2.79,abundant,9.71,abundant,0,348,Phyto,ASV217,unclassified_Mamiellaceae_ASV217,10,B_Archaeplastida:Mamiellophyceae_unclassified_Mamiellaceae_ASV217,NA,NA,NA,NA,5.285197605,0.002692378,5.383908008,Coastal_Transition,NA,NA,NA,NA,DeSeq_Spatial,NA,NA,NA,NA,NA,NA,NA
