bins,clade,HOT_224_25M,HOT_225_25M,HOT_226_25M,HOT_227_25M,HOT_229_25M,HOT_231_25M,HOT_232_25M,HOT_233_25M,HOT_234_25M,HOT_236_25M,HOT_237_25M,HOT_238_25M,KFe386HP,KFe387AR,KFe389R8,KFe393NT,KFe395NB,KFe416ST,KMa156HP,KMa157AR,KMa158CB,KMa159R8,KMa160SB,KMa161R2,KMa162ST,KMa163NT,KMa164NR,KMa165NB,KOc290HP,KOc291AR,KOc293R8,KOc297NT,KOc299NB,KOc321ST,KSe054HP,KSe055AR,KSe056CB,KSe057R8,KSe058SB,KSe059R2,KSe060ST,KSe061NT,KSe062NR,KSe063NB
MED4,Other_PRO,3.751344177,2.170946084,1.102856801,2.458802352,4.738089007,6.366082318,3.347915313,2.89544347,1.190458609,1.338684589,2.081577088,1.124313312,0,0,0,0.317832394,0,0.420753309,0,0,0,0,0,0.00364738,0.243933612,0.360890709,0.009742062,0,0,0,0,0.002163757,0,0.001359283,0,0,0,0,0,0.006959241,0.024263676,0.007153435,0,0
MIT9515,Other_PRO,1.791425582,1.02995504,0.492888592,1.123748118,2.07365473,2.866406548,1.678963299,1.396027426,0.500086768,0.61915256,1.129311386,0.529477855,0,0,0,0.134057739,0,0.185777147,0,0,0,0,0,0.000633737,0.100514325,0.163967268,0.001492804,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002269719,0,0,0
AS9601,AS9601,226.4560183,112.741938,75.08055711,81.58168049,202.6130033,177.605642,250.0454268,193.3342621,190.9314512,124.5482863,167.3418777,145.8491867,6.59E-05,0,0.259208631,19.87603282,0.890523829,25.51250488,0.307050508,0.876660036,0.348059342,0.336893961,0.051073907,4.248332439,20.00785311,26.42931661,5.427558422,1.248908332,1.80E-05,0.000215584,0,4.978769554,0,6.9535388,0,0,0,0.011936637,0,11.60911112,24.54997719,14.24540725,0,0
GP2,GP2,77.17337605,40.69754682,26.95145074,30.94768704,72.5852398,67.62200994,87.4924194,69.10793055,62.24207608,44.37738226,62.76276038,51.9882222,0,0,0.031772372,7.461587091,0.249365904,9.557558299,0.049682917,0.2320493,0.058147118,0.051346121,0.004752442,1.498782229,7.307333296,9.422148563,1.902924065,0.354112443,0,0,0,1.521213379,0,2.208603609,0,0,0,0.001085947,0,3.635484821,7.853331497,4.355624435,0,0
MIT9107,MIT9107,25.73818501,14.18137509,9.315133866,12.07071052,28.54685515,26.40020858,29.40992872,23.25646121,18.6991562,15.33320444,24.6302221,19.79933857,0,0,0.003384707,2.844472892,0.043645041,3.557657612,0.008842439,0.044549014,0.007145692,0.008330792,6.71E-05,0.453616051,2.593045806,3.438761253,0.604322189,0.092063917,0,0,0,0.360663372,0,0.566371543,0,0,0,0,0,0.94953263,2.183564508,1.157077868,0,0
MIT9201,MIT9201,52.64505528,28.5700081,18.77766922,22.1452126,48.93338979,49.24074579,60.22095287,49.890082,42.21368245,30.58653128,43.42701837,35.33098328,0,0,0.008626341,5.057181566,0.113661752,6.412359791,0.011933965,0.098575473,0.011593182,0.011967412,0,0.937646208,5.147384043,6.603649681,1.297982546,0.176887522,0,0,0,0.928965885,0,1.329147897,0,0,0,0,0,2.255309468,5.055367121,2.803277711,0,0
MIT9202,MIT9202,44.51466542,23.43679702,15.7784808,17.83232395,38.77615746,37.95774423,47.6222483,39.02385846,35.10077609,24.33715976,33.34401235,28.32543564,0,0,0.00721673,3.849724066,0.070580236,4.843795738,0.008030293,0.059642867,0.006794439,0.012190561,0,0.665586727,3.782307119,4.966282707,0.894625142,0.111343196,0,0,0,0.719989067,0,1.080815377,0,0,0,0,0,1.85867365,4.251415162,2.249570845,0,0
MIT9215,MIT9215,41.56054781,21.9927539,14.52547782,16.36599668,36.0936671,35.26606443,44.34510757,36.25893877,32.34899978,22.65839156,31.7338435,26.80886952,0,0,0.004012986,3.526149678,0.051790547,4.522258452,0.01042396,0.042592346,0.007067866,0.009171576,0.000401389,0.613921533,3.555878806,4.662457658,0.817179267,0.107681513,0,0,0,0.62261412,0,1.005872044,0,0,0,0,0,1.72774438,3.899907246,2.091988688,0,0
MIT9301,MIT9301,176.7812268,91.76092227,60.49754173,65.67332502,154.2413622,141.4772406,193.1420609,154.0222959,144.1728596,96.13183399,131.4517773,110.6046013,0,0,0.18057355,15.50348993,0.700820126,19.81995855,0.229923332,0.711260906,0.262324212,0.24910485,0.031952572,3.417841575,15.88784891,20.67830756,4.391219537,1.040421613,0,0,0,3.857487501,0,5.573500973,0,0,0,0.000875718,0,9.058524808,19.22179135,11.04145313,0,0
MIT9302,MIT9302,59.56904052,31.58564409,20.70424304,27.24253981,69.5820001,60.91042622,69.63388078,54.02876208,45.72717174,36.98984826,60.32001141,48.89020467,0,0,0.027158813,7.237313423,0.225054514,8.927635814,0.050301884,0.199211796,0.051743046,0.05373523,0.000423964,1.297986377,6.367137405,8.341745271,1.70658,0.336967724,0,0,1.14E-05,1.091555124,0,1.633969422,0,0,0,1.14E-05,0,2.628843957,5.629141362,3.191122804,0,0
MIT9311,MIT9311,61.17830995,32.64983115,21.53566942,28.69671794,72.48495435,62.87090597,69.25366805,54.75576218,45.87056109,37.43441237,61.84335142,50.99837632,0,0,0.026965927,7.205974921,0.21494019,8.929797778,0.041797071,0.177448836,0.042356319,0.046868614,0.002552708,1.325663646,6.327787667,8.316174533,1.707743453,0.33140854,1.17E-05,0.000135471,0,1.077406045,0,1.573696365,0,0,0,0.000796474,0,2.51676192,5.520604961,3.15239698,0,0
MIT9314,MIT9314,226.2279923,113.4107535,75.36016043,82.20083255,201.1682881,179.0040464,249.0705436,193.3234363,188.3785033,121.3463749,164.226232,142.8416528,0.000112196,0,0.234135822,19.23440025,0.852496208,24.69795721,0.291363026,0.894689428,0.318282094,0.324743085,0.051465114,4.085293609,19.55032077,25.457,5.257373369,1.193230648,0,0,0,4.800696481,9.45E-06,6.688354819,0,9.45E-06,0,0.009361749,0,11.2099311,24.13353194,13.81096737,0,0
MIT9321,MIT9321,78.61242985,41.17078211,27.60533698,30.88942094,70.77326611,66.83434515,86.70425677,69.16071169,63.27511002,44.36031429,61.82460154,53.35098499,0,0,0.035526743,7.219724536,0.203590913,9.145592311,0.05085716,0.208196432,0.04921321,0.043895164,0.004483914,1.393561843,7.122006981,9.194735303,1.819544005,0.341782332,0,0,0,1.495361762,0,2.101446739,0,0,0,0,0,3.541636691,7.854410508,4.328396327,0,0
SB,SB,246.4389082,122.0083734,81.20546842,87.37139475,212.2587282,190.9882387,270.0109217,214.6867001,209.8295029,130.0379693,172.8068982,149.9192782,0,0,0.259480418,20.26314702,0.895249833,25.98086365,0.320682617,0.911997976,0.316192356,0.341534062,0.05491283,4.394306128,20.84345634,27.50490082,5.587307964,1.245011788,0,0.001904311,0,5.202204607,0,7.22566958,0,0,0,0.011527594,0,12.28724248,26.4856232,15.22097287,0,0
PAC1,Other_PRO,4.35E-05,0,0,0.001994125,1.24225813,0.000202046,0.00024767,0.000173803,0,0.078296404,2.370903938,1.515620115,0,0,0,6.73E-05,0,6.30E-05,0,0,0,0,6.84E-05,0,0.00018358,0,0,1.85E-05,0,0,0,8.26E-05,0,0,0,3.91E-05,0,0,0,7.71E-05,0,0,0,3.80E-05
NATL1A,Other_PRO,0,0,0,0.008974774,1.427973538,0,0,0,0,0.09702124,2.482803593,1.730563883,0,0,0,0.00065854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NATL2A,Other_PRO,0,0,0,0.006873494,1.364283005,0,0,0,0,0.085734088,2.40300601,1.657630508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCMP1375,Other_PRO,0,0,0,0,0,0,0,0,0,0,0.001806767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIT9211,Other_PRO,0,0,0,0,0,0,0,0,0,0,0.002560026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIT9303,Other_PRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIT9313,Other_PRO,0,0,0,0,0,0,0,0,0,0,0.00332468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEYO,Other_SYN,0,0,0.002043518,0.000375427,0.00085495,0.000337031,0.000613482,0.000127987,0,5.38E-05,0.000583619,0.000738061,0.000200512,0.000709899,0.000391639,0.000243174,0.000803755,0.000319113,0.001343858,0.001558023,0.001536691,0.002383969,0.000788406,0.000399318,3.24E-05,0,0.001361777,0.0026246,0.00222014,0.003527366,0.002008573,0.000933448,0.001866897,0.001692835,0.00053925,0.001139936,0.000784986,0.004009391,0.000985496,0.000808875,0,0,0.000895052,0.002058876
MIT9508,Other_SYN,0,0,0.000922302,0.000405205,0.000803218,0.000937487,0.000470742,0.000337272,0.000175829,3.60E-05,0.000199805,0.000149454,0,0.000237369,0,0,0,0,0.000589027,0.000808813,0.000354055,0.000610606,0.000659358,0.000477935,0,0,0.000218987,0.000697721,0.000951873,0.001130899,0.00074967,0.00074967,0.000732087,0.000447564,1.04E-05,0.00072889,8.87E-05,0.002436828,0.000600216,0.000346862,0,0,2.24E-05,0.000294114
MITS9509,Other_SYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW179A,Other_SYN,0.010721237,0.006607898,0.08020357,0.035606647,0.017217946,0.012155398,0.015451349,0.012576786,0.018332453,0.006193882,0.020736097,0.004703203,0.019075457,0.022057939,0.026719375,0.008426165,0.023903022,0.010004395,0.007108248,0.014544177,0.009379121,0.015317268,0.011864522,0.010558378,0.007953939,0.006796265,0.017265038,0.017261114,0.010821307,0.012532964,0.014335534,0.014194913,0.00776361,0.010413178,0.013051628,0.014840463,0.008173701,0.02530335,0.007587669,0.009959266,0.009565526,0.005112079,0.009319602,0.014468307
CC9311,Other_SYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UW179B,Other_SYN,0.001004994,0.000134243,0.006741375,0.001993906,5.69E-05,0.001258727,0.00049591,0.000149247,0.00554898,0.00026059,0.000950757,2.61E-05,0.052014349,0.025789189,0.09119984,0.000287438,0.088931543,0.000573297,0.041615795,0.091299531,0.044618843,0.039022156,0.057341142,0.011284338,0.000218737,0.000195837,0.021248483,0.084810456,0.077444826,0.127111511,0.07580564,0.049222977,0.067614504,0.04687796,0.03935417,0.043230312,0.072692812,0.160487676,0.047200778,0.057370356,0.017575349,0.008222103,0.042533395,0.059838565
WH8016,Other_SYN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000411852,0,0.001286073,0,0.006589468,0.013418101,0.004843429,0.00586898,0.007725708,0.000138006,0,0,0.001352029,0.011740329,0.015289633,0.019606365,0.010073652,0.006071624,0.011885067,0.006051568,0.003527134,0.003334748,0.007538876,0.026540588,0.006406399,0.002029695,0,0,0.00218545,0.005186312
