bins	total_length	num_contigs	N50	GC_content	percent_completion	percent_redundancy
AS9601	1669886	1	1669886	31.326693405294705	97.1830985915493	1.408450704225352
BL107	2285034	1	2285034	54.22765688128154	98.59154929577464	1.408450704225352
CB0101	2789647	1	2789647	64.05268551525043	98.59154929577464	1.408450704225352
CC9311	2606748	1	2606748	52.4215315773972	98.59154929577464	2.816901408450704
CC9605	2510659	1	2510659	59.20418061796765	98.59154929577464	1.408450704225352
CC9616	2645910	1	2645910	56.53348329637859	97.1830985915493	2.816901408450704
CC9902	2234828	1	2234828	54.172734144295895	98.59154929577464	1.408450704225352
CCMP1375	1751080	1	1751080	36.439430562993316	97.1830985915493	1.408450704225352
GEYO	2343605	13	252868	56.47766311264907	95.77464788732394	1.408450704225352
GP2	1624310	11	416038	31.274528883389923	97.1830985915493	1.408450704225352
HIMB2401	2128877	8	595200	60.75890835245118	98.59154929577464	1.408450704225352
KORDI100	2789000	1	2789000	57.50573556216027	98.59154929577464	1.408450704225352
KORDI49	2585813	1	2585813	61.464041867868445	97.1830985915493	1.408450704225352
KORDI52	2572069	1	2572069	59.071228475379876	98.59154929577464	1.408450704225352
MED4	1657990	1	1657990	30.782289850249274	97.1830985915493	1.408450704225352
MIT9107	1699937	13	170362	31.226640780665267	97.1830985915493	1.408450704225352
MIT9201	1672416	21	145955	31.28149388965824	97.1830985915493	1.408450704225352
MIT9202	1691453	1	1691453	31.111183683739153	95.77464788732394	1.408450704225352
MIT9211	1688963	1	1688963	38.00354748902508	98.59154929577464	1.408450704225352
MIT9215	1738790	1	1738790	31.14807106078075	95.77464788732394	1.408450704225352
MIT9301	1641879	1	1641879	31.322820330336587	97.1830985915493	1.408450704225352
MIT9302	1745343	17	242124	31.340895136254304	97.1830985915493	1.408450704225352
MIT9303	2682675	1	2682675	49.98028420696603	98.59154929577464	1.408450704225352
MIT9311	1711064	17	189094	31.423328503113858	97.1830985915493	2.816901408450704
MIT9313	2410873	1	2410873	50.7441029760299	98.59154929577464	1.408450704225352
MIT9314	1690556	16	221824	31.30049286280887	97.1830985915493	1.408450704225352
MIT9321	1658664	10	259210	31.229529541583112	97.1830985915493	1.408450704225352
MIT9515	1704176	1	1704176	30.78838482265854	97.1830985915493	1.408450704225352
MITS9508	2502434	23	167605	55.99914376902883	95.77464788732394	1.408450704225352
MITS9509	3087928	33	181286	55.296982445566314	98.59154929577464	1.408450704225352
N19	2163106	18	189897	60.50582549422321	98.59154929577464	1.408450704225352
N26	2126898	13	362552	60.492666474270486	98.59154929577464	1.408450704225352
N32	2210892	17	552645	60.78792565256235	98.59154929577464	1.408450704225352
N5	2089511	14	531783	60.80071937960354	98.59154929577464	1.408450704225352
NATL1A	1864731	1	1864731	34.969544299787145	97.1830985915493	1.408450704225352
NATL2A	1842899	1	1842899	35.12358093476066	97.1830985915493	1.408450704225352
PAC1	1841163	20	182484	35.125826070260004	97.1830985915493	1.408450704225352
PCC6307	3342364	1	3342364	68.7039814341873	98.59154929577464	1.408450704225352
PCC7001	2834252	2	2832412	68.68476560019727	98.59154929577464	1.408450704225352
RCC307	2224914	1	2224914	60.84318073318826	98.59154929577464	1.408450704225352
RS9916	2664873	1	2664873	59.764783773401334	98.59154929577464	1.408450704225352
RS9917	2584918	1	2584918	64.43107263551802	98.59154929577464	1.408450704225352
SB	1669823	4	1237529	31.62518015476894	97.1830985915493	1.408450704225352
UW105	2659417	31	151891	57.42982362811722	98.59154929577464	1.408450704225352
UW106	2479535	15	318215	57.857727982761965	98.59154929577464	1.408450704225352
UW140	2704142	35	116698	57.58132883378894	97.1830985915493	1.408450704225352
UW179A	3057835	35	283750	54.35851837081369	97.1830985915493	1.408450704225352
UW179B	2531800	27	167461	54.051286944438836	95.77464788732394	1.408450704225352
UW69	2372121	15	637127	58.413925845157046	98.59154929577464	1.408450704225352
UW86	2091288	18	548326	60.78643289064106	97.1830985915493	1.408450704225352
WH7803	2366980	1	2366980	60.25130797926522	97.1830985915493	2.816901408450704
WH7805	2627046	3	2621166	57.41585020109912	98.59154929577464	1.408450704225352
WH8016	2694843	16	347852	53.65563962935573	95.77464788732394	2.816901408450704
WH8020	2661166	1	2661166	53.11009112664185	98.59154929577464	2.816901408450704
WH8102	2434428	1	2434428	59.533964649962115	98.59154929577464	1.408450704225352
WH8109	2111515	1	2111515	60.0687746920156	98.59154929577464	1.408450704225352
